경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
24,2017.10.29,KGC인삼공사,2:3,101,112,2h 06m,lose,14,한국도로공사
54,2017.11.18,KGC인삼공사,3:2,104,100,2h 08m,win,14,한국도로공사
76,2017.12.03,KGC인삼공사,3:0,75,46,1h 10m,win,14,한국도로공사
137,2018.01.13,KGC인삼공사,2:3,112,111,2h 12m,lose,14,한국도로공사
167,2018.02.08,KGC인삼공사,3:0,82,65,1h 23m,win,14,한국도로공사
189,2018.02.22,KGC인삼공사,3:0,75,66,1h 28m,win,14,한국도로공사
27,2017.11.01,흥국생명,3:0,75,54,1h 23m,win,14,한국도로공사
39,2017.11.09,흥국생명,3:0,84,71,1h 30m,win,14,한국도로공사
97,2017.12.17,흥국생명,3:2,110,98,2h 07m,win,14,한국도로공사
117,2017.12.31,흥국생명,3:2,99,104,2h 09m,win,14,한국도로공사
174,2018.02.13,흥국생명,3:1,93,74,1h 47m,win,14,한국도로공사
202,2018.03.03,흥국생명,3:0,75,56,1h 15m,win,14,한국도로공사
5,2017.10.17,GS 칼텍스,2:3,107,110,2h 17m,lose,14,한국도로공사
57,2017.11.21,GS 칼텍스,3:1,95,81,1h 51m,win,14,한국도로공사
79,2017.12.06,GS 칼텍스,3:0,75,63,1h 29m,win,14,한국도로공사
129,2018.01.09,GS 칼텍스,3:2,121,112,2h 16m,win,14,한국도로공사
162,2018.02.04,GS 칼텍스,3:2,114,107,2h 22m,win,14,한국도로공사
211,2018.03.10,GS 칼텍스,0:3,58,75,1h 14m,lose,14,한국도로공사
14,2017.10.22,IBK기업은행,2:3,96,104,2h 01m,lose,14,한국도로공사
67,2017.11.28,IBK기업은행,3:0,76,66,1h 27m,win,14,한국도로공사
87,2017.12.12,IBK기업은행,3:1,96,79,1h 47m,win,14,한국도로공사
142,2018.01.17,IBK기업은행,3:1,95,70,1h 49m,win,14,한국도로공사
153,2018.01.30,IBK기업은행,2:3,102,109,2h 22m,lose,14,한국도로공사
182,2018.02.17,IBK기업은행,0:3,55,75,1h 16m,lose,14,한국도로공사
223,2018.03.23,IBK기업은행,3:2,113,108,2h 19m,win,14,한국도로공사
225,2018.03.25,IBK기업은행,3:1,95,82,1h 57m,win,14,한국도로공사
227,2018.03.27,IBK기업은행,3:1,97,77,1h 53m,win,14,한국도로공사
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,한국도로공사
24,2017.10.29,한국도로공사,3:2,112,101,2h 06m,win,14,KGC인삼공사
54,2017.11.18,한국도로공사,2:3,100,104,2h 08m,lose,14,KGC인삼공사
76,2017.12.03,한국도로공사,0:3,46,75,1h 10m,lose,14,KGC인삼공사
137,2018.01.13,한국도로공사,3:2,111,112,2h 12m,win,14,KGC인삼공사
167,2018.02.08,한국도로공사,0:3,65,82,1h 23m,lose,14,KGC인삼공사
189,2018.02.22,한국도로공사,0:3,66,75,1h 28m,lose,14,KGC인삼공사
12,2017.10.21,흥국생명,2:3,96,108,1h 58m,lose,14,KGC인삼공사
48,2017.11.15,흥국생명,3:0,75,46,1h 11m,win,14,KGC인삼공사
86,2017.12.10,흥국생명,0:3,64,75,1h 25m,lose,14,KGC인삼공사
144,2018.01.18,흥국생명,3:1,95,89,1h 44m,win,14,KGC인삼공사
160,2018.02.03,흥국생명,2:3,105,95,1h 57m,lose,14,KGC인삼공사
184,2018.02.18,흥국생명,3:2,102,100,2h 02m,win,14,KGC인삼공사
15,2017.10.24,GS 칼텍스,3:1,105,103,1h 59m,win,14,KGC인삼공사
69,2017.11.29,GS 칼텍스,0:3,52,75,1h 14m,lose,14,KGC인삼공사
89,2017.12.13,GS 칼텍스,0:3,43,75,1h 07m,lose,14,KGC인삼공사
115,2017.12.30,GS 칼텍스,3:1,92,88,1h 45m,win,14,KGC인삼공사
152,2018.01.28,GS 칼텍스,0:3,53,75,1h 11m,lose,14,KGC인삼공사
199,2018.03.01,GS 칼텍스,1:3,77,95,1h 40m,lose,14,KGC인삼공사
35,2017.11.07,IBK기업은행,3:2,104,98,2h 03m,win,14,KGC인삼공사
43,2017.11.11,IBK기업은행,0:3,56,75,1h 18m,lose,14,KGC인삼공사
106,2017.12.24,IBK기업은행,1:3,85,98,1h 59m,lose,14,KGC인삼공사
131,2018.01.10,IBK기업은행,0:3,60,75,1h 17m,lose,14,KGC인삼공사
176,2018.02.14,IBK기업은행,0:3,51,75,1h 12m,lose,14,KGC인삼공사
213,2018.03.11,IBK기업은행,0:3,54,75,1h 18m,lose,14,KGC인삼공사
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,KGC인삼공사
27,2017.11.01,한국도로공사,0:3,54,75,1h 23m,lose,14,흥국생명
39,2017.11.09,한국도로공사,0:3,71,84,1h 30m,lose,14,흥국생명
97,2017.12.17,한국도로공사,2:3,98,110,2h 07m,lose,14,흥국생명
117,2017.12.31,한국도로공사,2:3,104,99,2h 09m,lose,14,흥국생명
174,2018.02.13,한국도로공사,1:3,74,93,1h 47m,lose,14,흥국생명
202,2018.03.03,한국도로공사,0:3,56,75,1h 15m,lose,14,흥국생명
12,2017.10.21,KGC인삼공사,3:2,108,96,1h 58m,win,14,흥국생명
48,2017.11.15,KGC인삼공사,0:3,46,75,1h 11m,lose,14,흥국생명
86,2017.12.10,KGC인삼공사,3:0,75,64,1h 25m,win,14,흥국생명
144,2018.01.18,KGC인삼공사,1:3,89,95,1h 44m,lose,14,흥국생명
160,2018.02.03,KGC인삼공사,3:2,95,105,1h 57m,win,14,흥국생명
184,2018.02.18,KGC인삼공사,2:3,100,102,2h 02m,lose,14,흥국생명
32,2017.11.04,GS 칼텍스,2:3,101,111,2h 04m,lose,14,흥국생명
44,2017.11.12,GS 칼텍스,3:0,77,68,1h 29m,win,14,흥국생명
108,2017.12.25,GS 칼텍스,2:3,104,103,2h 02m,lose,14,흥국생명
121,2018.01.03,GS 칼텍스,3:2,103,97,2h 15m,win,14,흥국생명
165,2018.02.07,GS 칼텍스,1:3,89,98,2h 00m,lose,14,흥국생명
192,2018.02.24,GS 칼텍스,0:3,63,75,1h 21m,lose,14,흥국생명
2,2017.10.14,IBK기업은행,2:3,108,96,2h 06m,lose,14,흥국생명
64,2017.11.25,IBK기업은행,2:3,108,98,2h 05m,lose,14,흥국생명
74,2017.12.02,IBK기업은행,0:3,51,75,1h 17m,lose,14,흥국생명
139,2018.01.14,IBK기업은행,0:3,57,75,1h 15m,lose,14,흥국생명
150,2018.01.27,IBK기업은행,0:3,49,75,1h 09m,lose,14,흥국생명
187,2018.02.21,IBK기업은행,3:2,108,102,2h 15m,win,14,흥국생명
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,흥국생명
5,2017.10.17,한국도로공사,3:2,110,107,2h 17m,win,14,GS 칼텍스
57,2017.11.21,한국도로공사,1:3,81,95,1h 51m,lose,14,GS 칼텍스
79,2017.12.06,한국도로공사,0:3,63,75,1h 29m,lose,14,GS 칼텍스
129,2018.01.09,한국도로공사,2:3,112,121,2h 16m,lose,14,GS 칼텍스
162,2018.02.04,한국도로공사,2:3,107,114,2h 22m,lose,14,GS 칼텍스
211,2018.03.10,한국도로공사,3:0,75,58,1h 14m,win,14,GS 칼텍스
15,2017.10.24,KGC인삼공사,1:3,103,105,1h 59m,lose,14,GS 칼텍스
69,2017.11.29,KGC인삼공사,3:0,75,52,1h 14m,win,14,GS 칼텍스
89,2017.12.13,KGC인삼공사,3:0,75,43,1h 07m,win,14,GS 칼텍스
115,2017.12.30,KGC인삼공사,1:3,88,92,1h 45m,lose,14,GS 칼텍스
152,2018.01.28,KGC인삼공사,3:0,75,53,1h 11m,win,14,GS 칼텍스
199,2018.03.01,KGC인삼공사,3:1,95,77,1h 40m,win,14,GS 칼텍스
32,2017.11.04,흥국생명,3:2,111,101,2h 04m,win,14,GS 칼텍스
44,2017.11.12,흥국생명,0:3,68,77,1h 29m,lose,14,GS 칼텍스
108,2017.12.25,흥국생명,3:2,103,104,2h 02m,win,14,GS 칼텍스
121,2018.01.03,흥국생명,2:3,97,103,2h 15m,lose,14,GS 칼텍스
165,2018.02.07,흥국생명,3:1,98,89,2h 00m,win,14,GS 칼텍스
192,2018.02.24,흥국생명,3:0,75,63,1h 21m,win,14,GS 칼텍스
25,2017.10.31,IBK기업은행,0:3,61,75,1h 20m,lose,14,GS 칼텍스
50,2017.11.16,IBK기업은행,3:2,111,109,2h 20m,win,14,GS 칼텍스
95,2017.12.16,IBK기업은행,0:3,61,75,1h 20m,lose,14,GS 칼텍스
126,2018.01.06,IBK기업은행,0:3,62,75,1h 23m,lose,14,GS 칼텍스
173,2018.02.11,IBK기업은행,2:3,103,109,2h 17m,lose,14,GS 칼텍스
205,2018.03.06,IBK기업은행,1:3,91,97,1h 49m,lose,14,GS 칼텍스
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,GS 칼텍스
14,2017.10.22,한국도로공사,3:2,104,96,2h 01m,win,14,IBK 기업은행
67,2017.11.28,한국도로공사,0:3,66,76,1h 27m,lose,14,IBK 기업은행
87,2017.12.12,한국도로공사,1:3,79,96,1h 47m,lose,14,IBK 기업은행
142,2018.01.17,한국도로공사,1:3,70,95,1h 49m,lose,14,IBK 기업은행
153,2018.01.30,한국도로공사,3:2,109,102,2h 22m,win,14,IBK 기업은행
182,2018.02.17,한국도로공사,3:0,75,55,1h 16m,win,14,IBK 기업은행
223,2018.03.23,한국도로공사,2:3,108,113,2h 19m,lose,14,IBK 기업은행
225,2018.03.25,한국도로공사,1:3,82,95,1h 57m,lose,14,IBK 기업은행
227,2018.03.27,한국도로공사,1:3,77,97,1h 53m,lose,14,IBK 기업은행
35,2017.11.07,KGC인삼공사,2:3,98,104,2h 03m,lose,14,IBK 기업은행
43,2017.11.11,KGC인삼공사,3:0,75,56,1h 18m,win,14,IBK 기업은행
106,2017.12.24,KGC인삼공사,3:1,98,85,1h 59m,win,14,IBK 기업은행
131,2018.01.10,KGC인삼공사,3:0,75,60,1h 17m,win,14,IBK 기업은행
176,2018.02.14,KGC인삼공사,3:0,75,51,1h 12m,win,14,IBK 기업은행
213,2018.03.11,KGC인삼공사,3:0,75,54,1h 18m,win,14,IBK 기업은행
2,2017.10.14,흥국생명,3:2,96,108,2h 06m,win,14,IBK 기업은행
64,2017.11.25,흥국생명,3:2,98,108,2h 05m,win,14,IBK 기업은행
74,2017.12.02,흥국생명,3:0,75,51,1h 17m,win,14,IBK 기업은행
139,2018.01.14,흥국생명,3:0,75,57,1h 15m,win,14,IBK 기업은행
150,2018.01.27,흥국생명,3:0,75,49,1h 09m,win,14,IBK 기업은행
187,2018.02.21,흥국생명,2:3,102,108,2h 15m,lose,14,IBK 기업은행
25,2017.10.31,GS 칼텍스,3:0,75,61,1h 20m,win,14,IBK 기업은행
50,2017.11.16,GS 칼텍스,2:3,109,111,2h 20m,lose,14,IBK 기업은행
95,2017.12.16,GS 칼텍스,3:0,75,61,1h 20m,win,14,IBK 기업은행
126,2018.01.06,GS 칼텍스,3:0,75,62,1h 23m,win,14,IBK 기업은행
173,2018.02.11,GS 칼텍스,3:2,109,103,2h 17m,win,14,IBK 기업은행
205,2018.03.06,GS 칼텍스,3:1,97,91,1h 49m,win,14,IBK 기업은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,IBK 기업은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,14,페퍼저축은행
19,2018.10.27,KGC인삼공사,1:3,78,97,1h 46m,lose,15,한국도로공사
38,2018.11.07,KGC인삼공사,3:2,113,102,2h 16m,win,15,한국도로공사
86,2018.12.09,KGC인삼공사,3:0,75,49,1h 15m,win,15,한국도로공사
115,2018.12.29,KGC인삼공사,3:0,75,58,1h 24m,win,15,한국도로공사
176,2019.02.13,KGC인삼공사,3:2,107,92,2h 08m,win,15,한국도로공사
197,2019.02.27,KGC인삼공사,3:0,75,64,1h 35m,win,15,한국도로공사
34,2018.11.04,흥국생명,2:3,107,105,2h 16m,lose,15,한국도로공사
58,2018.11.21,흥국생명,3:1,93,79,1h 47m,win,15,한국도로공사
89,2018.12.12,흥국생명,1:3,92,103,2h 05m,lose,15,한국도로공사
131,2019.01.09,흥국생명,3:2,108,96,2h 17m,win,15,한국도로공사
167,2019.02.06,흥국생명,3:0,79,61,1h 32m,win,15,한국도로공사
208,2019.03.06,흥국생명,3:1,108,96,2h 17m,win,15,한국도로공사
222,2019.03.21,흥국생명,1:3,80,86,1h 48m,lose,15,한국도로공사
224,2019.03.23,흥국생명,3:0,75,60,1h 31m,win,15,한국도로공사
226,2019.03.25,흥국생명,2:3,104,103,2h 17m,lose,15,한국도로공사
228,2019.03.27,흥국생명,1:3,99,96,2h 07m,lose,15,한국도로공사
22,2018.10.29,GS 칼텍스,0:3,53,75,1h 23m,lose,15,한국도로공사
68,2018.11.28,GS 칼텍스,0:3,53,77,1h 22m,lose,15,한국도로공사
106,2018.12.23,GS 칼텍스,3:1,93,82,1h 52m,win,15,한국도로공사
136,2019.01.12,GS 칼텍스,3:2,111,98,2h 23m,win,15,한국도로공사
159,2019.02.02,GS 칼텍스,3:0,75,58,1h 32m,win,15,한국도로공사
205,2019.03.03,GS 칼텍스,3:2,101,92,2h 03m,win,15,한국도로공사
217,2019.03.15,GS 칼텍스,3:2,115,98,2h 26m,win,15,한국도로공사
219,2019.03.17,GS 칼텍스,2:3,96,106,2h 23m,lose,15,한국도로공사
221,2019.03.19,GS 칼텍스,3:2,105,91,2h 09m,win,15,한국도로공사
9,2018.10.22,IBK기업은행,3:2,108,110,2h 28m,win,15,한국도로공사
53,2018.11.17,IBK기업은행,2:3,98,105,2h 18m,lose,15,한국도로공사
99,2018.12.19,IBK기업은행,3:1,97,79,1h 59m,win,15,한국도로공사
109,2018.12.25,IBK기업은행,0:3,54,75,1h 27m,lose,15,한국도로공사
173,2019.02.10,IBK기업은행,3:0,78,64,1h 36m,win,15,한국도로공사
215,2019.03.10,IBK기업은행,1:3,83,94,1h 53m,lose,15,한국도로공사
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,15,한국도로공사
19,2018.10.27,한국도로공사,3:1,97,78,1h 46m,win,15,KGC인삼공사
38,2018.11.07,한국도로공사,2:3,102,113,2h 16m,lose,15,KGC인삼공사
86,2018.12.09,한국도로공사,0:3,49,75,1h 15m,lose,15,KGC인삼공사
115,2018.12.29,한국도로공사,0:3,58,75,1h 24m,lose,15,KGC인삼공사
176,2019.02.13,한국도로공사,2:3,92,107,2h 08m,lose,15,KGC인삼공사
197,2019.02.27,한국도로공사,0:3,64,75,1h 35m,lose,15,KGC인삼공사
13,2018.10.24,흥국생명,1:3,85,99,1h 50m,lose,15,KGC인삼공사
55,2018.11.18,흥국생명,0:3,66,75,1h 28m,lose,15,KGC인삼공사
107,2018.12.24,흥국생명,0:3,47,75,1h 09m,lose,15,KGC인삼공사
141,2019.01.16,흥국생명,0:3,54,75,1h 20m,lose,15,KGC인삼공사
145,2019.01.24,흥국생명,2:3,96,106,2h 06m,lose,15,KGC인삼공사
203,2019.03.02,흥국생명,0:3,59,75,1h 21m,lose,15,KGC인삼공사
26,2018.10.31,GS 칼텍스,3:1,98,71,1h 40m,win,15,KGC인삼공사
65,2018.11.25,GS 칼텍스,1:3,84,96,1h 50m,lose,15,KGC인삼공사
96,2018.12.16,GS 칼텍스,0:3,60,75,1h 20m,lose,15,KGC인삼공사
132,2019.01.09,GS 칼텍스,0:3,68,76,1h 24m,lose,15,KGC인삼공사
171,2019.02.09,GS 칼텍스,1:3,85,98,1h 51m,lose,15,KGC인삼공사
188,2019.02.20,GS 칼텍스,1:3,81,96,1h 57m,lose,15,KGC인삼공사
35,2018.11.05,IBK기업은행,3:0,75,58,1h 17m,win,15,KGC인삼공사
49,2018.11.14,IBK기업은행,1:3,85,97,1h 54m,lose,15,KGC인삼공사
90,2018.12.12,IBK기업은행,0:3,51,75,1h 28m,lose,15,KGC인삼공사
120,2019.01.01,IBK기업은행,0:3,62,75,1h 28m,lose,15,KGC인삼공사
155,2019.01.30,IBK기업은행,0:3,55,75,1h 23m,lose,15,KGC인삼공사
209,2019.03.06,IBK기업은행,3:0,76,68,1h 29m,win,15,KGC인삼공사
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,15,KGC인삼공사
34,2018.11.04,한국도로공사,3:2,105,107,2h 16m,win,15,흥국생명
58,2018.11.21,한국도로공사,1:3,79,93,1h 47m,lose,15,흥국생명
89,2018.12.12,한국도로공사,3:1,103,92,2h 05m,win,15,흥국생명
131,2019.01.09,한국도로공사,2:3,96,108,2h 17m,lose,15,흥국생명
167,2019.02.06,한국도로공사,0:3,61,79,1h 32m,lose,15,흥국생명
208,2019.03.06,한국도로공사,1:3,96,108,2h 17m,lose,15,흥국생명
222,2019.03.21,한국도로공사,3:1,86,80,1h 48m,win,15,흥국생명
224,2019.03.23,한국도로공사,0:3,60,75,1h 31m,lose,15,흥국생명
226,2019.03.25,한국도로공사,3:2,103,104,2h 17m,win,15,흥국생명
228,2019.03.27,한국도로공사,3:1,96,99,2h 07m,win,15,흥국생명
13,2018.10.24,KGC인삼공사,3:1,99,85,1h 50m,win,15,흥국생명
55,2018.11.18,KGC인삼공사,3:0,75,66,1h 28m,win,15,흥국생명
107,2018.12.24,KGC인삼공사,3:0,75,47,1h 09m,win,15,흥국생명
141,2019.01.16,KGC인삼공사,3:0,75,54,1h 20m,win,15,흥국생명
145,2019.01.24,KGC인삼공사,3:2,106,96,2h 06m,win,15,흥국생명
203,2019.03.02,KGC인삼공사,3:0,75,59,1h 21m,win,15,흥국생명
